Company_ID,Company_name,Industry,number_of_employees
69,HP,Not Available,"1,001-5,000 employees"
69,HP,Not Available,51-200 employees
70,HSBC,Airlines and Aviation,"10,001+ employees "
70,HSBC,Government Relations Services,51-200 employees 
70,HSBC,Manufacturing,"10,001+ employees "
71,ICICI Bank,Airlines and Aviation,"10,001+ employees "
72,IFC - International Finance Corporation,Airlines and Aviation,"10,001+ employees "
73,IndiaMART InterMESH Limited,Airlines and Aviation,"10,001+ employees "
74,IndiGo (InterGlobe Aviation Ltd),Airlines and Aviation,"10,001+ employees "
75,INIFD South Mumbai,Airlines and Aviation,"10,001+ employees "
76,Invest India,Airlines and Aviation,"10,001+ employees "
77,ITC Limited,Airlines and Aviation,"10,001+ employees "
78,Jet Airways,Airlines and Aviation,"10,001+ employees "
78,Jet Airways,Business Consulting and Services,"10,001+ employees "
78,Jet Airways,Not Available,"10,001+ employees"
78,Jet Airways,Not Available,201-500 employees
78,Jet Airways,Not Available,51-200 employees
78,Jet Airways,Professional Services,"10,001+ employees "
79,Jobline Consultants India Pvt. Ltd.,Not Available,201-500 employees
80,Jovees Herbal,Manufacturing,"10,001+ employees "
81,Justdial,Not Available,11-50 employees
82,"KBR, Inc.",E-Learning Providers,51-200 employees 
82,"KBR, Inc.",Software Development,51-200 employees 
83,KPMG India,Software Development,51-200 employees 
84,LEJHRO,Not Available,"10,001+ employees"
85,Lejhro Bootcamp," Technology, Information and Internet","501-1,000 employees "
86,LIC,Not Available,"5,001-10,000 employees"
87,Mahaveer Group,Retail,11-50 employees 
88,Mars,Not Available,Financial Services
89,MarsDevs,Airlines and Aviation,"10,001+ employees "
90,MentorBoxx,Not Available,51-200 employees
91,Mesh,Airlines and Aviation,"10,001+ employees "
91,Mesh,Not Available,51-200 employees
92,MILLIONAIRE TRACK,Not Available,NA
93,Monster India,Airlines and Aviation,"10,001+ employees "
94,Motilal Oswal Financial Services Ltd,Not Available,1-10 employees
95,MSA Instruments,Airlines and Aviation,"10,001+ employees "
96,Muthoot Finance Ltd. - India,Not Available,1-10 employees
97,NatWest Group,Banking,"10,001+ employees "
98,NCR Eduservices,Education Administration Programs,201-500 employees 
99,Next Level Events,Not Available,1-10 employees
100,NextDoor Global,Not Available,11-50 employees
101,NG Networks,Computer and Network Security,11-50 employees 
102,Ng Networks Solution,Airlines and Aviation,11-50 employees 
103,"Niyukti Systems, Inc",IT Services and IT Consulting,1-10 employees 
104,NowInternï,Not Available,11-50 employees
105,"Omnify, Inc",Software Development,11-50 employees 
106,Opportunity jobs,Not Available,1-10 employees
107,Optum,Hospitals and Health Care,"10,001+ employees "
108,Otis Elevator Co.,Consumer Services,"10,001+ employees "
109,Overture Rede,IT Services and IT Consulting,11-50 employees 
110,OYO," Technology, Information and Internet","5,001-10,000 employees "
111,Peakflo (YC W22),IT Services and IT Consulting,11-50 employees 
112,PepsiCo,Food and Beverage Services,"10,001+ employees "
113,Philom,Not Available,1-10 employees
114,PlanetSpark,E-Learning Providers,"1,001-5,000 employees "
114,PlanetSpark,Not Available,"1,001-5,000 employees"
115,Poptagg Technologies Pvt Ltd,Not Available,1-10 employees
116,Procter & Gamble,Manufacturing,"10,001+ employees "
117,PwC,Accounting,"10,001+ employees "
118,PwC India,Business Consulting and Services,"5,001-10,000 employees "
119,Radio City India,Not Available,201-500 employees
120,Ramboll,Civil Engineering,"10,001+ employees "
121,Ribsha Global Services,Not Available,1-10 employees
122,RITES LTD,Not Available,"1,001-5,000 employees"
123,Roots Analysis,Not Available,51-200 employees
124,RTI International,Not Available,"1,001-5,000 employees"
125,Sahaj Pharma - For HR Solutions,Staffing and Recruiting,1-10 employees 
126,Sampark Search (I),Not Available,11-50 employees
127,Samsung India,Computers and Electronics Manufacturing,"10,001+ employees "
128,Sarvanga Education,Not Available,1-10 employees
129,Schneider Electric," Appliances, Electrical, and Electronics Manufacturing","10,001+ employees "
130,Siya,IT Services and IT Consulting,51-200 employees 
131,Softone HR Solutions,Not Available,11-50 employees
132,SolarArise India Projects Pvt Ltd,Not Available,1-10 employees
133,SOLTEL POWER PVT. LTD.,Not Available,11-50 employees
134,Sophos,Software Development,"1,001-5,000 employees "
135,Square Yards,Not Available,"1,001-5,000 employees"
136,"StackNexus Inc, an Inc. 500 company",Not Available,51-200 employees
137,STL - Sterlite Technologies Limited,Telecommunications,"1,001-5,000 employees "
138,Success Partner Consultants Pvt. Ltd.,Not Available,51-200 employees
139,Sutherland,IT Services and IT Consulting,"10,001+ employees "
140,Swiggy,Software Development,"1,001-5,000 employees "
141,Taggd,Human Resources Services,"1,001-5,000 employees "
142,Talent Advisors,Not Available,51-200 employees
143,Target,Retail,"10,001+ employees "
144,TELUS International AI Data Solutions,IT Services and IT Consulting,"10,001+ employees "
145,Testbook,E-Learning Providers,"501-1,000 employees "
145,Testbook,Not Available,"501-1,000 employees"
146,The Job Man,Not Available,1-10 employees
147,"The TJX Companies, Inc.",Retail,"10,001+ employees "
148,TNC AVIATION,Airlines and Aviation,11-50 employees 
149,Tradologie,Not Available,51-200 employees
150,TrainingInbox - Redefining Employability,Not Available,1-10 employees
151,triedge.in,Not Available,11-50 employees
152,Trivium Education,Not Available,201-500 employees
153,Turtlemint,Not Available,"1,001-5,000 employees"
154,Udhyam Learning Foundation,Education Administration Programs,11-50 employees 
155,Ultrahuman,NULL,51-200 employees
156,Uplers,Not Available,"1,001-5,000 employees"
157,Upraised,Not Available,51-200 employees
158,VARITE INC,Not Available,"1,001-5,000 employees"
159,Virohan,Education Administration Programs,51-200 employees 
160,vivo India,Telecommunications,"5,001-10,000 employees "
161,VPlayed,Software Development,201-500 employees 
162,White Force Group,Staffing and Recruiting,201-500 employees 
163,Wildcraft India,Manufacturing,"1,001-5,000 employees "
164,Wipro,IT Services and IT Consulting,"10,001+ employees "
165,WTF,Wellness and Fitness Services,1-10 employees 
166,WWF-India,Not Available,201-500 employees
167,Your Pitchh,Staffing and Recruiting,51-200 employees 
168,Zaphireï,Not Available,11-50 employees
169,Zolo,Not Available,"501-1,000 employees"
170,Zyoin,Not Available,201-500 employees
